name,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xOnGoal,I_F_xGoals,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,I_F_takeaways,I_F_giveaways
Eric Belanger,0.46240000000000003,0.46159999999999995,0.45880000000000004,45.602799999999995,4.236000000000001,45.8,18.0,17.4,15.44,10.56
Eric Boulton,0.40225,0.377,0.39725,10.6355,0.9487500000000001,11.35,3.45,21.8,1.95,2.45
Eric Brewer,0.4482857142857143,0.4434285714285714,0.452,28.872285714285713,1.3602857142857143,28.228571428571428,21.742857142857144,43.91428571428571,6.914285714285715,11.885714285714286
Eric Fehr,0.5123636363636364,0.48490909090909096,0.49254545454545456,37.20072727272727,4.062181818181818,37.43636363636364,14.2,18.963636363636365,12.072727272727272,4.581818181818182
Eric Gelinas,0.5579999999999999,0.5844,0.596,24.4128,1.0776000000000001,25.28,17.04,21.88,2.76,6.24
Eric Godard,0.32266666666666666,0.31133333333333335,0.31466666666666665,5.286,0.4653333333333334,5.066666666666666,1.6,11.466666666666667,0.4,0.8
Eric Gryba,0.3982857142857143,0.37857142857142856,0.38285714285714284,17.07542857142857,0.6317142857142857,17.37142857142857,14.371428571428572,44.22857142857143,3.6,10.485714285714286
Eric Nystrom,0.386,0.40125,0.38725,31.56725,2.96175,30.65,13.05,50.5,7.6,5.975
Eric O'Dell,0.372,0.5690000000000001,0.449,6.172,0.6300000000000001,4.6,1.2,9.0,4.6,1.6
Eric Perrin,0.504,0.458,0.462,43.538,4.537999999999999,45.6,13.6,18.8,18.6,9.2
Eric Robinson,0.37825000000000003,0.3865,0.3705,26.786,3.346,25.95,12.2,30.275,5.425,4.925
Eric Selleck,0.22800000000000004,0.166,0.176,0.658,0.098,0.6,0.2,1.6,0.4,0.0
Eric Staal,0.5185714285714286,0.5301428571428571,0.5224285714285715,87.11728571428571,10.149428571428572,85.28571428571429,34.15714285714286,20.085714285714285,19.314285714285713,15.142857142857142
Eric Tangradi,0.40549999999999997,0.40625,0.40549999999999997,8.11925,0.75825,7.8,2.75,14.3,1.4,1.5
Eric Wellwood,0.486,0.5,0.4233333333333333,6.235333333333333,0.6633333333333333,6.133333333333334,1.8666666666666667,2.933333333333333,2.6666666666666665,0.8
Erik Brannstrom,0.49114285714285716,0.5274285714285715,0.498,19.463714285714286,0.968857142857143,19.97142857142857,18.34285714285714,10.857142857142858,4.571428571428571,12.4
Erik Burgdoerfer,0.302,0.25133333333333335,0.256,0.6786666666666666,0.03866666666666667,0.8,0.13333333333333333,3.466666666666667,0.0,0.4
Erik Cernak,0.4557142857142857,0.3802857142857143,0.4005714285714286,32.53285714285715,1.364,34.08571428571429,19.771428571428572,67.05714285714286,6.171428571428572,9.085714285714285
Erik Christensen,0.499,0.538,0.48,34.9425,3.3785,33.7,15.25,13.1,8.65,5.5
Erik Cole,0.5145714285714286,0.5262857142857144,0.5268571428571429,59.86285714285714,7.136,59.542857142857144,25.65714285714286,57.542857142857144,13.8,11.257142857142858
Erik Condra,0.41624999999999995,0.44275000000000003,0.43,26.9075,2.46125,26.325,10.675,6.05,8.75,5.8
Erik Gudbranson,0.4094285714285714,0.40700000000000003,0.4065714285714286,29.128714285714285,0.981,29.82857142857143,21.014285714285716,48.2,3.2714285714285714,10.457142857142857
Erik Gustafsson,0.4870769230769231,0.502,0.49430769230769234,27.77953846153846,1.2726153846153847,26.76923076923077,21.70769230769231,15.015384615384615,5.246153846153846,13.415384615384616
Erik Haula,0.505,0.5025,0.491,44.333499999999994,5.289833333333333,43.5,13.766666666666667,24.5,10.366666666666667,8.233333333333333
Erik Johnson,0.47112499999999996,0.46237500000000004,0.46699999999999997,41.29225,2.0618749999999997,45.375,28.1125,39.3375,10.475,12.4
Erik Karlsson,0.5245,0.5507500000000001,0.542375,74.063375,3.75475,73.5875,62.975,19.325,20.8625,31.6
Erik Reitz,0.284,0.5439999999999999,0.348,9.112,0.272,8.8,8.8,32.4,2.0,3.2
Esa Lindell,0.5012,0.43939999999999996,0.4428,37.525,2.0298,40.58,25.88,33.88,9.28,21.14
Ethan Bear,0.48933333333333334,0.471,0.4656666666666667,22.319000000000003,1.046,24.5,15.333333333333334,14.266666666666667,6.466666666666667,13.8
Ethan Cardwell,0.152,0.362,0.148,2.3,0.2,2.0,1.2,3.2,0.4,2.0
Ethan Del Mastro,0.425,0.45999999999999996,0.43200000000000005,2.182,0.148,2.4,3.2,5.0,0.8,2.8
Ethan Moreau,0.421,0.41200000000000003,0.41,38.7575,3.054,38.7,14.6,34.95,4.7,10.5
Ethan Prow,0.186,0.2,0.20600000000000002,0.588,0.096,0.8,0.4,0.8,0.0,0.8
Ethen Frank,0.434,0.608,0.41600000000000004,9.331999999999999,1.024,8.4,3.2,4.0,2.0,3.6
Evan Bouchard,0.5640000000000001,0.5673333333333334,0.553,51.69766666666667,2.727333333333333,54.8,45.56666666666667,19.433333333333334,13.8,23.966666666666665
Evan Brophey,0.154,0.148,0.13199999999999998,0.15,0.032,0.2,0.0,1.4,0.0,0.2
Evan McEneny,0.252,0.192,0.188,0.244,0.008,0.4,0.0,0.0,0.0,0.0
Evan Oberg,0.2753333333333333,0.2806666666666667,0.2793333333333333,0.43866666666666665,0.010666666666666666,0.5333333333333333,0.5333333333333333,0.6666666666666666,0.0,0.4
Evan Rodrigues,0.527,0.5498,0.546,47.2792,4.4656,48.2,20.04,17.66,8.06,9.48
Evander Kane,0.5178666666666667,0.5402666666666667,0.5369333333333334,86.34986666666667,8.868933333333333,86.33333333333333,32.16,58.986666666666665,12.613333333333333,13.24
Evgeni Malkin,0.5788235294117647,0.5878823529411764,0.5864705882352942,75.3629411764706,8.904941176470588,76.63529411764706,33.07058823529412,14.494117647058824,21.388235294117646,23.870588235294118
Evgenii Dadonov,0.47275,0.507,0.497,56.9905,7.04975,54.55,21.15,14.825,10.05,14.875
Evgeny Artyukhin,0.45099999999999996,0.47400000000000003,0.471,28.892000000000003,2.3739999999999997,28.4,8.2,75.4,5.0,9.0
Evgeny Dadonov,0.456,0.456,0.45466666666666666,11.337333333333333,1.2280000000000002,11.333333333333334,2.8666666666666667,8.133333333333333,2.466666666666667,1.7333333333333334
Evgeny Grachev,0.44299999999999995,0.394,0.40199999999999997,3.19,0.279,3.4,1.2,6.2,2.8,0.4
Evgeny Kuznetsov,0.5314545454545455,0.5478181818181818,0.5485454545454546,57.58090909090909,5.996181818181818,56.69090909090909,20.163636363636364,16.163636363636364,14.181818181818182,17.654545454545456
Evgeny Medvedev,0.554,0.53,0.532,30.252,1.8920000000000001,28.2,29.4,15.2,5.2,10.8
Evgeny Svechnikov,0.298,0.35966666666666663,0.32466666666666666,12.257,1.3923333333333334,12.6,4.466666666666667,16.4,3.533333333333333,4.433333333333334
Fabian Brunnstrom,0.49466666666666664,0.55,0.5173333333333333,16.868,1.77,16.666666666666668,4.466666666666667,9.6,6.8,5.333333333333333
Fabian Lysell,0.46799999999999997,0.354,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabian Zetterlund,0.4335,0.502,0.49000000000000005,54.8535,5.675,50.1,24.4,31.5,8.7,10.1
Fedor Svechkov,0.466,0.516,0.528,24.684,2.836,20.8,12.0,10.0,2.4,14.0
Fedor Tyutin,0.4628888888888889,0.48466666666666663,0.45422222222222225,35.82066666666667,1.8542222222222222,37.111111111111114,25.066666666666666,40.111111111111114,6.044444444444444,8.622222222222222
Fernando Pisani,0.42533333333333334,0.40399999999999997,0.39599999999999996,24.72266666666667,2.1906666666666665,26.4,10.266666666666667,23.333333333333332,8.133333333333333,5.266666666666667
Filip Chlapik,0.3265,0.34900000000000003,0.35500000000000004,6.3195,0.5375,5.8,1.5,9.2,1.9,1.3
Filip Chytil,0.4885,0.5025000000000001,0.49874999999999997,41.60125,4.2482500000000005,40.325,14.025,7.15,7.625,10.3
Filip Forsberg,0.5195384615384616,0.5546153846153846,0.5466153846153846,81.2196923076923,8.202153846153847,74.61538461538461,36.07692307692308,33.815384615384616,18.553846153846155,19.446153846153845
Filip Hallander,0.06000000000000001,0.098,0.141,0.0,0.0,0.0,0.0,0.2,0.4,0.4
Filip Hronek,0.4685714285714285,0.5008571428571429,0.4885714285714286,45.214,2.248285714285714,44.48571428571429,34.142857142857146,33.2,5.457142857142857,19.17142857142857
Filip Kral,0.21600000000000003,0.276,0.20600000000000002,0.26,0.008,0.4,0.0,0.8,0.0,0.4
Filip Kuba,0.4832,0.4916,0.49119999999999997,31.346,1.666,32.32,23.8,14.96,9.52,18.16
Filip Roos,0.528,0.545,0.529,4.254,0.156,4.2,3.8,4.4,0.8,2.4
Filip Zadina,0.446,0.5,0.4936666666666667,33.76933333333333,3.4636666666666667,34.36666666666667,16.4,11.533333333333333,6.833333333333333,6.766666666666667
Francis Bouillon,0.4856666666666667,0.48800000000000004,0.489,18.967333333333332,0.978,20.033333333333335,19.7,45.03333333333333,6.133333333333334,12.6
Francis Lessard,0.20800000000000002,0.20800000000000002,0.21600000000000003,2.996,0.21600000000000003,2.4,0.8,14.4,0.4,0.8
Francis Wathier,0.094,0.13899999999999998,0.129,0.369,0.019,0.4,0.1,1.3,0.1,0.4
Francois Beauchemin,0.4868,0.47259999999999996,0.4802,41.58559999999999,1.9324000000000001,43.68,28.92,37.56,9.44,19.4
Frank Corrado,0.38533333333333336,0.453,0.4426666666666667,6.555666666666666,0.22466666666666668,5.8,4.066666666666666,5.8,0.4666666666666667,1.9666666666666666
Frank Nazar,0.413,0.442,0.43,13.220000000000002,1.4449999999999998,12.0,5.4,4.2,1.6,7.9
Frank Vatrano,0.5084000000000001,0.508,0.5172,63.7188,6.5826,66.8,20.56,36.68,8.28,9.06
Frans Nielsen,0.5015384615384616,0.5049230769230769,0.5098461538461538,49.848615384615385,5.064153846153847,50.43076923076923,18.73846153846154,16.015384615384615,14.861538461538462,11.123076923076923
Frantisek Kaberle,0.548,0.534,0.5439999999999999,12.568000000000001,0.7020000000000001,11.2,10.4,6.4,2.8,3.2
