name,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xOnGoal,I_F_xGoals,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,I_F_takeaways,I_F_giveaways
Raphael Diaz,0.5,0.48,0.4975,40.760000000000005,1.2725,37.0,38.25,23.75,6.5,17.25
Raphael Lavoie,0.45,0.505,0.445,8.66,0.905,7.0,5.5,14.5,0.5,1.5
Rasmus Andersson,0.5166666666666667,0.5144444444444445,0.5033333333333334,74.58444444444444,2.841111111111111,73.44444444444444,42.666666666666664,31.666666666666668,14.777777777777779,34.44444444444444
Rasmus Asplund,0.55,0.522,0.5199999999999999,41.209999999999994,3.9859999999999998,43.2,5.6,17.0,7.2,6.2
Rasmus Dahlin,0.4957142857142857,0.5214285714285715,0.5157142857142858,105.10571428571428,5.0,114.14285714285714,73.28571428571429,93.71428571428571,24.428571428571427,47.42857142857143
Rasmus Kupari,0.46399999999999997,0.488,0.48599999999999993,38.668,3.354,34.6,13.6,50.4,6.2,12.0
Rasmus Rissanen,0.53,0.5,0.46,2.65,0.07,3.0,5.0,24.0,0.0,3.0
Rasmus Ristolainen,0.46166666666666667,0.45416666666666666,0.4608333333333334,79.08333333333333,3.0841666666666665,83.58333333333333,46.666666666666664,139.0,12.75,27.333333333333332
Rasmus Sandin,0.5216666666666666,0.515,0.51,46.535000000000004,2.1966666666666668,44.333333333333336,39.833333333333336,67.83333333333333,14.0,27.5
Ray Macias,0.45499999999999996,0.475,0.45499999999999996,2.4000000000000004,0.15000000000000002,1.5,2.0,1.0,1.0,1.5
Ray Whitney,0.5,0.5116666666666667,0.5116666666666667,99.26166666666667,9.906666666666666,99.83333333333333,39.5,18.5,36.166666666666664,24.5
Raymond Sawada,0.45,0.5033333333333333,0.54,1.5733333333333335,0.10666666666666667,1.6666666666666667,1.0,6.666666666666667,0.6666666666666666,0.3333333333333333
Reese Johnson,0.42400000000000004,0.43,0.42800000000000005,23.314,2.288,23.8,8.6,81.8,4.8,4.0
Reid Boucher,0.4566666666666666,0.51,0.5116666666666667,31.653333333333336,3.0766666666666667,31.166666666666668,9.666666666666666,14.666666666666666,7.5,3.0
Reilly Smith,0.5214285714285715,0.5271428571428571,0.5178571428571429,98.16142857142857,10.645,96.92857142857143,36.42857142857143,43.357142857142854,27.857142857142858,26.0
Reilly Walsh,0.52,0.63,0.64,1.41,0.02,2.0,1.0,0.0,0.0,1.0
Rem Pitlick,0.41200000000000003,0.42200000000000004,0.43200000000000005,19.078,2.674,17.6,4.6,11.8,7.8,13.4
Remi Elie,0.45,0.45999999999999996,0.4825,25.830000000000002,2.5949999999999998,23.0,11.75,39.5,8.5,10.25
Rene Bourque,0.4833333333333333,0.4855555555555556,0.4822222222222222,108.4011111111111,9.242222222222221,104.11111111111111,45.111111111111114,72.44444444444444,18.0,13.777777777777779
Rhett Gardner,0.505,0.4325,0.5,8.24,0.685,7.0,3.75,16.5,2.5,2.0
Rhett Rakhshani,0.46499999999999997,0.39,0.395,4.305,0.27,2.5,0.5,0.5,2.0,1.0
Rich Clune,0.43200000000000005,0.41200000000000003,0.41,17.478,1.5179999999999998,18.0,6.8,74.8,3.4,3.0
Rich Peverley,0.47833333333333333,0.5,0.49833333333333335,100.315,8.966666666666667,100.33333333333333,30.666666666666668,23.166666666666668,25.333333333333332,21.666666666666668
Richard Panik,0.49800000000000005,0.506,0.497,68.70400000000001,6.718999999999999,67.8,30.2,80.3,17.5,15.5
Richard Park,0.45999999999999996,0.4633333333333334,0.47666666666666674,85.83333333333333,7.669999999999999,87.33333333333333,34.333333333333336,29.333333333333332,31.0,17.333333333333332
Richard Petiot,0.44,0.455,0.45499999999999996,5.1,0.125,4.5,4.0,16.0,1.5,2.5
Richard Zednik,0.47,0.48,0.46,118.64,13.34,117.0,39.0,57.0,20.0,19.0
Rick Nash,0.514,0.507,0.508,173.78900000000002,13.415000000000001,178.5,59.8,61.5,39.3,23.5
Rick Rypien,0.30333333333333334,0.35000000000000003,0.3633333333333333,24.94333333333333,1.6966666666666665,26.666666666666668,7.0,41.333333333333336,5.333333333333333,3.3333333333333335
Rickard Rakell,0.5169230769230769,0.5023076923076923,0.5038461538461538,120.56384615384614,11.363846153846152,115.61538461538461,46.84615384615385,78.15384615384616,19.692307692307693,29.76923076923077
Rickard Wallin,0.49,0.5,0.5,61.23,5.82,64.0,24.0,34.0,25.0,11.0
Ridly Greig,0.5266666666666667,0.5066666666666667,0.5133333333333333,67.34666666666668,7.81,58.666666666666664,22.333333333333332,87.33333333333333,14.0,15.333333333333334
Riley Armstrong,0.16,0.41,0.3,0.84,0.06,1.0,1.0,1.0,0.0,1.0
Riley Barber,0.43,0.4266666666666667,0.42333333333333334,3.2600000000000002,0.24333333333333337,3.6666666666666665,2.0,6.333333333333333,0.3333333333333333,1.6666666666666667
Riley Cote,0.495,0.51,0.51,13.465,0.9750000000000001,15.5,2.0,31.5,5.5,0.5
Riley Damiani,0.55,0.57,0.53,9.62,1.47,10.0,4.0,4.0,3.0,1.0
Riley Nash,0.52,0.48750000000000004,0.4975,53.86333333333334,5.73,55.0,17.5,50.5,28.166666666666668,9.0
Riley Sheahan,0.5258333333333334,0.49583333333333335,0.5066666666666667,57.21083333333333,5.721666666666667,57.083333333333336,18.166666666666668,29.166666666666668,15.166666666666666,12.333333333333334
Riley Stillman,0.48666666666666664,0.5333333333333333,0.5166666666666666,25.451666666666668,0.995,25.0,21.0,51.0,4.666666666666667,11.5
Riley Tufte,0.2875,0.3825,0.325,3.6725000000000003,0.335,3.5,2.0,7.75,0.75,1.75
Rinat Valiev,0.435,0.525,0.515,4.15,0.09,4.0,4.5,4.0,1.0,2.0
Rob Blake,0.5449999999999999,0.515,0.52,96.61500000000001,4.48,110.0,62.0,47.5,16.5,32.5
Rob Davison,0.585,0.485,0.435,8.53,0.22,7.5,3.0,14.0,0.5,3.5
Rob Klinkhammer,0.4483333333333333,0.49333333333333335,0.49,41.296666666666674,3.6166666666666667,38.166666666666664,13.5,93.33333333333333,6.5,5.166666666666667
Rob Niedermayer,0.43,0.44,0.43999999999999995,64.89666666666666,6.156666666666666,70.0,18.666666666666668,56.666666666666664,13.666666666666666,21.0
Rob O'Gara,0.48,0.435,0.45,12.33,0.48,11.0,13.0,20.5,2.0,4.0
Rob Schremp,0.4566666666666667,0.4633333333333333,0.47333333333333333,40.196666666666665,3.02,38.333333333333336,18.333333333333332,16.0,24.666666666666668,16.0
Rob Scuderi,0.505,0.48875,0.495,36.11375,1.0425,39.25,31.5,40.75,9.875,30.0
Robbie Earl,0.355,0.405,0.38,19.845,1.7550000000000001,17.0,7.0,32.0,3.0,4.5
Robbie Russo,0.49,0.52,0.51,20.32,0.58,16.0,9.0,23.0,0.0,11.0
Robby Fabbri,0.4511111111111111,0.45444444444444443,0.45333333333333337,66.93555555555555,7.010000000000001,66.0,22.88888888888889,53.0,12.11111111111111,15.444444444444445
Robert Bortuzzo,0.5142857142857143,0.4992857142857143,0.5107142857142858,35.44571428571429,1.602142857142857,36.0,21.214285714285715,70.57142857142857,3.9285714285714284,9.857142857142858
Robert Hagg,0.4744444444444444,0.4633333333333333,0.46444444444444444,39.376666666666665,1.6222222222222222,37.55555555555556,27.22222222222222,104.0,3.7777777777777777,17.11111111111111
Robert Lang,0.52,0.52,0.515,60.015,6.205,58.0,25.0,18.0,14.5,18.0
Robert Nilsson,0.49,0.475,0.475,67.52499999999999,6.3149999999999995,66.0,34.5,30.5,22.5,33.0
Robert Thomas,0.5085714285714286,0.4942857142857143,0.4942857142857143,72.95285714285714,8.209999999999999,69.57142857142857,23.142857142857142,11.142857142857142,37.285714285714285,31.142857142857142
Robin Salo,0.43,0.425,0.435,9.4,0.325,13.0,8.0,5.5,2.5,9.5
Roby Jarventie,0.33,0.33,0.35,5.1,0.88,5.0,2.0,5.0,1.0,3.0
Robyn Regehr,0.48142857142857143,0.4928571428571429,0.48142857142857143,56.13142857142857,1.6128571428571428,55.285714285714285,46.57142857142857,137.14285714285714,7.571428571428571,27.714285714285715
Rocco Grimaldi,0.5,0.49875,0.4975,38.50125,3.48125,39.375,12.125,13.25,11.875,7.0
Rod Brind'Amour,0.44999999999999996,0.51,0.5,77.11500000000001,6.68,82.5,27.5,75.5,26.5,22.0
Rod Pelley,0.4566666666666666,0.45999999999999996,0.47333333333333333,62.416666666666664,4.623333333333334,66.0,16.666666666666668,95.33333333333333,9.0,8.333333333333334
Rodrigo Abols,0.52,0.45,0.47,16.84,2.09,15.0,9.0,15.0,1.0,9.0
Roland McKeown,0.405,0.445,0.4,6.2749999999999995,0.165,5.0,9.5,3.5,1.0,3.5
Roman Cervenka,0.46,0.47,0.47,48.95,4.89,45.0,20.0,7.0,8.0,8.0
Roman Hamrlik,0.49800000000000005,0.506,0.516,60.767999999999994,2.164,61.2,46.8,50.2,18.8,41.0
Roman Horak,0.4066666666666667,0.4033333333333333,0.39333333333333337,24.400000000000002,2.38,25.333333333333332,8.333333333333334,14.333333333333334,7.0,4.333333333333333
Roman Josi,0.5207142857142857,0.5085714285714286,0.5128571428571428,128.84071428571428,6.002857142857143,137.35714285714286,92.78571428571429,43.142857142857146,20.571428571428573,34.785714285714285
Roman Lyubimov,0.5,0.5,0.5,48.46,4.62,41.0,16.0,28.0,12.0,5.0
Roman Polak,0.4916666666666667,0.47833333333333333,0.48416666666666663,62.10833333333333,2.504166666666667,58.666666666666664,41.916666666666664,143.91666666666666,10.583333333333334,22.583333333333332
Roman Wick,0.45,0.42,0.41,7.56,0.85,4.0,5.0,2.0,2.0,3.0
Ron Hainsey,0.49583333333333335,0.4875,0.49,66.985,2.5016666666666665,65.66666666666667,52.75,61.75,19.083333333333332,42.166666666666664
Ronalds Kenins,0.405,0.45499999999999996,0.45999999999999996,21.815,1.8050000000000002,22.0,10.5,45.0,8.0,5.5
Ronnie Attard,0.56,0.5,0.54,12.64,0.6733333333333333,9.333333333333334,10.333333333333334,14.666666666666666,3.6666666666666665,3.6666666666666665
Roope Hintz,0.5557142857142857,0.5242857142857142,0.5242857142857142,102.90714285714286,11.981428571428571,101.42857142857143,39.0,56.285714285714285,17.285714285714285,29.857142857142858
Rory Kerins,0.36,0.46,0.44,3.25,0.3,2.0,3.0,4.0,0.0,5.0
Ross Colton,0.524,0.526,0.526,109.346,12.09,101.4,38.8,126.4,22.8,17.6
Ross Johnston,0.39111111111111113,0.4,0.38111111111111107,13.017777777777777,1.7822222222222222,12.777777777777779,5.222222222222222,69.33333333333333,3.6666666666666665,5.777777777777778
Rostislav Klesla,0.47500000000000003,0.47500000000000003,0.4766666666666666,38.20333333333334,1.6500000000000001,39.166666666666664,28.166666666666668,54.0,4.833333333333333,7.5
Rostislav Olesz,0.49000000000000005,0.47400000000000003,0.472,53.068000000000005,4.99,57.0,15.8,37.6,14.4,5.6
Rourke Chartier,0.48666666666666664,0.49333333333333335,0.5233333333333333,20.89,1.8933333333333333,20.333333333333332,7.0,18.333333333333332,2.3333333333333335,4.333333333333333
Rudolfs Balcers,0.514,0.496,0.504,45.769999999999996,5.426,45.4,13.2,46.0,15.6,12.0
